lat,lng,heading,pitch,streakLocationCode,token,round,image_path
50.857989,4.350594,0,0,be,dWnNLb05UeXg0Syt,0,v1_europe/dWnNLb05UeXg0Syt_0.jpeg
48.712939,21.264098,0,0,sk,dWnNLb05UeXg0Syt,1,v1_europe/dWnNLb05UeXg0Syt_1.jpeg
47.650691,18.316814,0,0,hu,dWnNLb05UeXg0Syt,2,v1_europe/dWnNLb05UeXg0Syt_2.jpeg
47.864541,5.37266099999999,0,0,fr,dWnNLb05UeXg0Syt,3,v1_europe/dWnNLb05UeXg0Syt_3.jpeg
41.632169,-0.82372399999997,0,0,es,dWnNLb05UeXg0Syt,4,v1_europe/dWnNLb05UeXg0Syt_4.jpeg
45.535989,10.2130999999999,0,0,it,5PXnENOETokbFOLX,0,v1_europe/5PXnENOETokbFOLX_0.jpeg
37.261016,-6.94338300000004,0,0,es,5PXnENOETokbFOLX,1,v1_europe/5PXnENOETokbFOLX_1.jpeg
58.573929,16.160881,0,0,se,5PXnENOETokbFOLX,2,v1_europe/5PXnENOETokbFOLX_2.jpeg
47.390831,0.69217500000002,0,0,fr,5PXnENOETokbFOLX,3,v1_europe/5PXnENOETokbFOLX_3.jpeg
44.727367,4.59200999999996,0,0,fr,5PXnENOETokbFOLX,4,v1_europe/5PXnENOETokbFOLX_4.jpeg
49.253482,4.04298600000004,0,0,fr,tqPxR9Qe0PZXy1iC,0,v1_europe/tqPxR9Qe0PZXy1iC_0.jpeg
35.518406,24.021568,0,0,gr,tqPxR9Qe0PZXy1iC,1,v1_europe/tqPxR9Qe0PZXy1iC_1.jpeg
53.202882,5.81172400000003,0,0,nl,tqPxR9Qe0PZXy1iC,2,v1_europe/tqPxR9Qe0PZXy1iC_2.jpeg
44.492361,11.3489,0,0,it,tqPxR9Qe0PZXy1iC,3,v1_europe/tqPxR9Qe0PZXy1iC_3.jpeg
56.971885,21.9561610000001,0,0,lv,tqPxR9Qe0PZXy1iC,4,v1_europe/tqPxR9Qe0PZXy1iC_4.jpeg
43.50669,16.448574,0,0,hr,j6uVyS9CDEOWjtDh,0,v1_europe/j6uVyS9CDEOWjtDh_0.jpeg
41.882674,12.478101,0,0,it,j6uVyS9CDEOWjtDh,1,v1_europe/j6uVyS9CDEOWjtDh_1.jpeg
50.408435,4.443894,0,0,be,j6uVyS9CDEOWjtDh,2,v1_europe/j6uVyS9CDEOWjtDh_2.jpeg
47.997411,0.208791000000019,-206.13760375976562,2.194272518157959,fr,j6uVyS9CDEOWjtDh,3,v1_europe/j6uVyS9CDEOWjtDh_3.jpeg
45.432043,10.9861960000001,0,0,it,j6uVyS9CDEOWjtDh,4,v1_europe/j6uVyS9CDEOWjtDh_4.jpeg
41.984102,2.81294300000002,0,0,es,FUjeuJrut0mjSkON,0,v1_europe/FUjeuJrut0mjSkON_0.jpeg
42.706789,23.3348080000001,0,0,bg,FUjeuJrut0mjSkON,1,v1_europe/FUjeuJrut0mjSkON_1.jpeg
51.744189,19.4739059999999,0,0,pl,FUjeuJrut0mjSkON,2,v1_europe/FUjeuJrut0mjSkON_2.jpeg
39.355592,22.956008,0,0,gr,FUjeuJrut0mjSkON,3,v1_europe/FUjeuJrut0mjSkON_3.jpeg
52.3721,4.90557000000001,0,0,nl,FUjeuJrut0mjSkON,4,v1_europe/FUjeuJrut0mjSkON_4.jpeg
60.247746,24.059935,0,0,fi,LlxTKzSXcD4bIje3,0,v1_europe/LlxTKzSXcD4bIje3_0.jpeg
44.288168,8.447451,0,0,it,LlxTKzSXcD4bIje3,1,v1_europe/LlxTKzSXcD4bIje3_1.jpeg
43.586487,15.920916,-93.1705322265625,6.269867897033691,,LlxTKzSXcD4bIje3,2,v1_europe/LlxTKzSXcD4bIje3_2.jpeg
51.570168,5.09762000000001,0,0,nl,LlxTKzSXcD4bIje3,3,v1_europe/LlxTKzSXcD4bIje3_3.jpeg
55.708379,21.159851,0,0,lt,LlxTKzSXcD4bIje3,4,v1_europe/LlxTKzSXcD4bIje3_4.jpeg
45.444683,12.321222,0,0,it,fPDGZSz1bzss9HJf,0,v1_europe/fPDGZSz1bzss9HJf_0.jpeg
44.89378,8.59530700000005,0,0,it,fPDGZSz1bzss9HJf,1,v1_europe/fPDGZSz1bzss9HJf_1.jpeg
52.557327,13.345968,0,0,de,fPDGZSz1bzss9HJf,2,v1_europe/fPDGZSz1bzss9HJf_2.jpeg
49.486027,8.47031400000003,0,0,de,fPDGZSz1bzss9HJf,3,v1_europe/fPDGZSz1bzss9HJf_3.jpeg
51.48822,7.22845499999994,0,0,de,fPDGZSz1bzss9HJf,4,v1_europe/fPDGZSz1bzss9HJf_4.jpeg
39.808601,18.365997,0,0,it,iPAwbgtwTXj47ZvJ,0,v1_europe/iPAwbgtwTXj47ZvJ_0.jpeg
61.742272,17.094963,0,0,se,iPAwbgtwTXj47ZvJ,1,v1_europe/iPAwbgtwTXj47ZvJ_1.jpeg
39.452858,-0.362197000000037,0,0,es,iPAwbgtwTXj47ZvJ,2,v1_europe/iPAwbgtwTXj47ZvJ_2.jpeg
